customer_id,customer_name,customer_type,region,city_tier,contract_discount_pct,total_orders,total_units_purchased,total_gross_revenue_inr,total_discount_inr,total_net_revenue_inr,total_cogs_inr,total_fulfillment_cost_inr,total_pocket_profit_inr,customer_pocket_margin_pct
CUST_00470,Client Account 0470,B2B SMB,East,Tier 3,0.095,31,2433.0,18594563.0,2603450.46,15991112.539999997,12589123.45,651004.8800000001,2950711.789999999,18.45
CUST_00340,Client Account 0340,B2B SMB,East,Tier 2,0.138,38,2859.0,22438149.0,4234928.42,18203220.579999994,15239895.649999995,945139.53,2885804.9299999992,15.85
CUST_00182,Client Account 0182,B2B SMB,North,Tier 2,0.107,27,2190.0,23730149.0,2887332.28,20842816.72,17409435.529999997,912747.0400000002,2811419.61,13.49
CUST_00269,Client Account 0269,B2B SMB,West,Tier 2,0.126,38,2997.0,22445034.0,4292741.8,18152292.2,15415004.290000007,868642.1700000002,2785317.1700000004,15.34
CUST_00111,Client Account 0111,B2B SMB,East,Tier 1,0.13,38,3164.0,28226328.0,4198697.140000001,24027630.860000003,20600496.290000003,1027860.2900000002,2726945.5799999996,11.35
CUST_00405,Client Account 0405,B2B SMB,East,Tier 2,0.105,32,2470.0,17707114.0,2349957.31,15357156.689999994,12275665.309999997,713122.6,2689736.4299999997,17.51
CUST_00468,Client Account 0468,B2B SMB,West,Tier 2,0.122,41,3160.0,30956813.0,5778022.32,25178790.679999996,22870798.559999995,1080347.2000000002,2668644.6800000006,10.6
CUST_00178,Client Account 0178,B2B SMB,East,Tier 2,0.09,28,2155.0,29694451.0,3196881.9099999997,26497569.08999999,22558824.74,1621172.3,2626490.8800000004,9.91
CUST_00125,Client Account 0125,B2B SMB,North,Tier 1,0.094,20,1541.0,23450861.0,2646740.89,20804120.110000003,17407411.52,948729.4600000001,2590340.5299999993,12.45
CUST_00001,Client Account 0001,B2B SMB,West,Tier 2,0.084,35,2623.0,22821444.0,3814077.8399999994,19007366.159999996,17274053.759999998,750609.49,2475990.08,13.03
CUST_00222,Client Account 0222,B2B SMB,South,Tier 1,0.091,26,2629.0,23988501.0,3230717.4699999993,20757783.53,17758848.689999998,921645.8400000002,2407549.9099999997,11.6
CUST_00351,Client Account 0351,B2B SMB,North,Tier 2,0.091,34,2739.0,35632267.0,5199103.980000001,30433163.020000007,28102917.430000007,1290322.41,2379051.1599999997,7.82
CUST_00132,Client Account 0132,B2B SMB,East,Tier 1,0.083,26,2390.0,22635418.0,2433413.42,20202004.579999994,16846895.520000003,1190947.8900000001,2362504.55,11.69
CUST_00133,Client Account 0133,B2B SMB,South,Tier 1,0.085,35,3248.0,33996663.0,5398220.4799999995,28598442.520000003,25796095.67,1198328.6900000002,2298034.4200000004,8.04
CUST_00046,Client Account 0046,B2B SMB,North,Tier 1,0.096,32,2899.0,25026765.0,3541930.1100000003,21484834.89,18756031.470000003,1051040.0499999998,2223264.92,10.35
CUST_00254,Client Account 0254,B2B SMB,North,Tier 2,0.125,29,2309.0,34262009.0,4814958.04,29447050.960000005,26391046.570000008,1357874.4900000002,2170312.4299999997,7.37
CUST_00315,Client Account 0315,B2B SMB,South,Tier 2,0.105,31,2441.0,27689052.0,4012286.1599999997,23676765.839999996,21103997.309999995,974350.5999999999,2091315.52,8.83
CUST_00060,Client Account 0060,B2B SMB,East,Tier 1,0.135,30,2290.0,20211447.0,3498840.9399999995,16712606.06,14356021.219999999,805302.0800000001,2066884.2699999998,12.37
CUST_00147,Client Account 0147,B2B SMB,West,Tier 1,0.116,22,2171.0,25428072.0,4594872.640000001,20833199.36,18789052.12,945108.41,2001585.64,9.61
