customer_id,customer_name,customer_segment,region,contract_discount_pct,created_date
CST_0001,Customer Account 0001,Retail Standard,West,0.0,2023-01-15
CST_0002,Customer Account 0002,Retail Silver,Central,0.0,2023-01-15
CST_0003,Customer Account 0003,Retail Silver,North-East,0.0,2023-01-15
CST_0004,Customer Account 0004,Retail Platinum,East,0.0,2023-01-15
CST_0005,Customer Account 0005,B2B SMB,West,0.075,2023-01-15
CST_0006,Customer Account 0006,Retail Standard,Central,0.0,2023-01-15
CST_0007,Customer Account 0007,Retail Silver,North-East,0.0,2023-01-15
CST_0008,Customer Account 0008,Retail Gold,North,0.0,2023-01-15
CST_0009,Customer Account 0009,Retail Platinum,West,0.0,2023-01-15
CST_0010,Customer Account 0010,Retail Platinum,Central,0.0,2023-01-15
CST_0011,Customer Account 0011,Retail Standard,East,0.0,2023-01-15
CST_0012,Customer Account 0012,Retail Silver,West,0.0,2023-01-15
CST_0013,Customer Account 0013,Retail Standard,West,0.0,2023-01-15
CST_0014,Customer Account 0014,Retail Gold,East,0.0,2023-01-15
CST_0015,Customer Account 0015,Retail Standard,South,0.0,2023-01-15
CST_0016,Customer Account 0016,Retail Standard,West,0.0,2023-01-15
CST_0017,Customer Account 0017,Retail Gold,North,0.0,2023-01-15
CST_0018,Customer Account 0018,Retail Platinum,North-East,0.0,2023-01-15
CST_0019,Customer Account 0019,Retail Silver,East,0.0,2023-01-15
CST_0020,Customer Account 0020,Retail Platinum,North,0.0,2023-01-15
CST_0021,Customer Account 0021,Retail Silver,North,0.0,2023-01-15
CST_0022,Customer Account 0022,Retail Platinum,North-East,0.0,2023-01-15
CST_0023,Customer Account 0023,Retail Standard,Central,0.0,2023-01-15
CST_0024,Customer Account 0024,Retail Standard,North,0.0,2023-01-15
CST_0025,Customer Account 0025,Retail Gold,West,0.0,2023-01-15
CST_0026,Customer Account 0026,Retail Standard,West,0.0,2023-01-15
CST_0027,Customer Account 0027,Retail Standard,North-East,0.0,2023-01-15
CST_0028,Customer Account 0028,Retail Standard,East,0.0,2023-01-15
CST_0029,Customer Account 0029,B2B SMB,East,0.114,2023-01-15
CST_0030,Customer Account 0030,Retail Silver,West,0.0,2023-01-15
CST_0031,Customer Account 0031,Retail Gold,North,0.0,2023-01-15
CST_0032,Customer Account 0032,Retail Silver,Central,0.0,2023-01-15
CST_0033,Customer Account 0033,Retail Gold,North-East,0.0,2023-01-15
CST_0034,Customer Account 0034,Retail Silver,North-East,0.0,2023-01-15
CST_0035,Customer Account 0035,Retail Gold,Central,0.0,2023-01-15
CST_0036,Customer Account 0036,Retail Platinum,North,0.0,2023-01-15
CST_0037,Customer Account 0037,B2B Enterprise,North-East,0.153,2023-01-15
CST_0038,Customer Account 0038,Retail Standard,West,0.0,2023-01-15
CST_0039,Customer Account 0039,Retail Silver,North,0.0,2023-01-15
CST_0040,Customer Account 0040,Retail Silver,West,0.0,2023-01-15
CST_0041,Customer Account 0041,Retail Gold,North-East,0.0,2023-01-15
CST_0042,Customer Account 0042,Retail Platinum,North-East,0.0,2023-01-15
CST_0043,Customer Account 0043,Retail Standard,West,0.0,2023-01-15
CST_0044,Customer Account 0044,Retail Standard,West,0.0,2023-01-15
CST_0045,Customer Account 0045,Retail Gold,Central,0.0,2023-01-15
CST_0046,Customer Account 0046,Retail Silver,East,0.0,2023-01-15
CST_0047,Customer Account 0047,Retail Silver,North,0.0,2023-01-15
CST_0048,Customer Account 0048,Retail Platinum,Central,0.0,2023-01-15
CST_0049,Customer Account 0049,Retail Silver,East,0.0,2023-01-15
CST_0050,Customer Account 0050,B2B Enterprise,North,0.124,2023-01-15
CST_0051,Customer Account 0051,Retail Standard,North-East,0.0,2023-01-15
CST_0052,Customer Account 0052,Retail Standard,Central,0.0,2023-01-15
CST_0053,Customer Account 0053,Retail Standard,East,0.0,2023-01-15
CST_0054,Customer Account 0054,B2B Enterprise,Central,0.163,2023-01-15
CST_0055,Customer Account 0055,Retail Standard,West,0.0,2023-01-15
CST_0056,Customer Account 0056,Retail Standard,East,0.0,2023-01-15
CST_0057,Customer Account 0057,Retail Gold,Central,0.0,2023-01-15
CST_0058,Customer Account 0058,Retail Platinum,North,0.0,2023-01-15
CST_0059,Customer Account 0059,Retail Gold,South,0.0,2023-01-15
CST_0060,Customer Account 0060,Retail Silver,North-East,0.0,2023-01-15
CST_0061,Customer Account 0061,Retail Silver,North-East,0.0,2023-01-15
CST_0062,Customer Account 0062,B2B SMB,North-East,0.082,2023-01-15
CST_0063,Customer Account 0063,Retail Gold,South,0.0,2023-01-15
CST_0064,Customer Account 0064,Retail Standard,North,0.0,2023-01-15
CST_0065,Customer Account 0065,Retail Standard,North,0.0,2023-01-15
CST_0066,Customer Account 0066,Retail Standard,Central,0.0,2023-01-15
CST_0067,Customer Account 0067,Retail Gold,South,0.0,2023-01-15
CST_0068,Customer Account 0068,Retail Standard,North,0.0,2023-01-15
CST_0069,Customer Account 0069,Retail Silver,East,0.0,2023-01-15
CST_0070,Customer Account 0070,Retail Silver,North,0.0,2023-01-15
CST_0071,Customer Account 0071,Retail Silver,East,0.0,2023-01-15
CST_0072,Customer Account 0072,Retail Silver,North-East,0.0,2023-01-15
CST_0073,Customer Account 0073,Retail Standard,East,0.0,2023-01-15
CST_0074,Customer Account 0074,Retail Standard,East,0.0,2023-01-15
CST_0075,Customer Account 0075,Retail Silver,North-East,0.0,2023-01-15
CST_0076,Customer Account 0076,Retail Gold,South,0.0,2023-01-15
CST_0077,Customer Account 0077,Retail Silver,Central,0.0,2023-01-15
CST_0078,Customer Account 0078,Retail Standard,South,0.0,2023-01-15
CST_0079,Customer Account 0079,B2B Enterprise,East,0.124,2023-01-15
CST_0080,Customer Account 0080,Retail Gold,West,0.0,2023-01-15
CST_0081,Customer Account 0081,B2B SMB,North,0.11,2023-01-15
CST_0082,Customer Account 0082,Retail Gold,East,0.0,2023-01-15
CST_0083,Customer Account 0083,Retail Silver,East,0.0,2023-01-15
CST_0084,Customer Account 0084,Retail Standard,East,0.0,2023-01-15
CST_0085,Customer Account 0085,Retail Gold,West,0.0,2023-01-15
CST_0086,Customer Account 0086,Retail Silver,East,0.0,2023-01-15
CST_0087,Customer Account 0087,B2B SMB,South,0.091,2023-01-15
CST_0088,Customer Account 0088,Retail Gold,North,0.0,2023-01-15
CST_0089,Customer Account 0089,Retail Gold,West,0.0,2023-01-15
