transaction_id,transaction_date,customer_id,store_id,product_id,promo_id,channel,region,city_tier,quantity,list_price_inr,gross_revenue_inr,contract_discount_inr,promo_discount_inr,adhoc_discount_inr,total_discount_inr,net_revenue_inr,base_cogs_inr,fulfillment_cost_inr,vendor_coop_rebate_inr,return_flag,return_cost_inr,pocket_profit_inr
TX_0000001,2025-09-12,CUST_00237,STORE_PHY_007,PROD_1162,PROMO_NONE,Physical Store,North,Tier 1,4,2499,9996,0.0,0.0,0.0,0.0,9996.0,5373.0,600.84,0.0,False,0.0,4022.16
TX_0000002,2024-09-19,CUST_00003,STORE_PHY_004,PROD_1028,PROMO_FLASH_WED,Physical Store,East,Tier 2,4,18319,73276,0.0,8793.12,0.0,8793.12,64482.88,63918.8,2038.89,4396.56,False,0.0,2921.75
TX_0000003,2024-05-28,CUST_00310,STORE_ONLINE_DIRECT,PROD_1182,PROMO_NONE,E-Commerce Direct,East,Tier 3,4,899,3596,0.0,0.0,0.0,0.0,3596.0,2422.72,488.47,0.0,False,0.0,684.81
TX_0000004,2024-08-22,CUST_00313,STORE_PHY_008,PROD_1049,PROMO_NONE,Physical Store,North,Tier 2,1,67679,67679,0.0,0.0,0.0,0.0,67679.0,55272.75,4090.74,0.0,False,0.0,8315.51
TX_0000005,2024-02-13,CUST_00074,STORE_PHY_011,PROD_1046,PROMO_FLASH_WED,Physical Store,East,Tier 2,1,26569,26569,0.0,3188.28,0.0,3188.28,23380.72,23079.23,777.92,1594.14,False,0.0,1117.71
TX_0000006,2024-04-11,CUST_00470,STORE_PHY_034,PROD_1081,PROMO_NONE,Physical Store,East,Tier 3,147,3519,517293,49142.83,0.0,0.0,49142.83,468150.17,210580.44,26884.51,0.0,False,0.0,230685.22
TX_0000007,2025-11-05,CUST_00017,STORE_PHY_022,PROD_1012,PROMO_DIWALI,Physical Store,South,Tier 1,1,20519,20519,0.0,4103.8,0.0,4103.8,16415.2,16697.29,520.21,1231.14,False,0.0,428.84
TX_0000008,2024-06-19,CUST_00378,STORE_PHY_024,PROD_1188,PROMO_NONE,Physical Store,West,Tier 3,2,1369,2738,0.0,0.0,0.0,0.0,2738.0,1934.02,115.82,0.0,False,0.0,688.16
TX_0000009,2024-04-28,CUST_00175,STORE_PHY_026,PROD_1209,PROMO_NONE,Physical Store,West,Tier 2,2,296,592,0.0,0.0,0.0,0.0,592.0,457.94,52.02,0.0,False,0.0,82.04
TX_0000010,2025-05-16,CUST_00187,STORE_PHY_028,PROD_1175,PROMO_FLASH_WED,Physical Store,West,Tier 1,1,4899,4899,0.0,587.88,0.0,587.88,4311.12,2875.72,144.63,293.94,False,0.0,1584.71
TX_0000011,2025-11-04,CUST_00224,STORE_PHY_031,PROD_1153,PROMO_DIWALI,Physical Store,West,Tier 1,3,7949,23847,0.0,4769.4,0.0,4769.4,19077.6,13581.75,590.78,1430.82,False,0.0,6335.89
